entity_type,entity_name,city,address,source_platform,external_rating,external_review_count,price_range,tags,description
scenic_spot,希拉穆仁草原,呼和浩特,武川县希拉穆仁镇,携程,4.5,1820,免费,草原;骑马;民俗,典型的内蒙古草原观光地
scenic_spot,大召寺,呼和浩特,玉泉区大召前街,美团,4.6,2410,30-50,寺庙;历史;文化,呼和浩特著名藏传佛教寺院
scenic_spot,内蒙古博物院,呼和浩特,赛罕区东影南路27号,去哪儿,4.7,3120,免费,博物馆;亲子;文化,自治区级综合性博物馆
scenic_spot,五当召,包头,石拐区白芨沟乡,携程,4.5,1560,55,寺庙;历史,清代藏传佛教寺院群
scenic_spot,响沙湾,鄂尔多斯,达拉特旗响沙湾景区,大众点评,4.4,2870,120-180,沙漠;娱乐;亲子,库布其沙漠观光胜地
scenic_spot,成吉思汗陵,鄂尔多斯,伊金霍洛旗伊金霍洛镇,携程,4.6,1990,80,人文;历史;祭祀,纪念成吉思汗的文化圣地
scenic_spot,呼伦湖,呼伦贝尔,新巴尔虎左旗境内,去哪儿,4.5,1340,免费,湖泊;自然;摄影,北方第一大湖
scenic_spot,阿尔山国家森林公园,兴安盟,阿尔山市,美团,4.8,4260,180-285,森林;温泉;火山,火山地貌与森林温泉景观
scenic_spot,阿斯哈图石林,赤峰,克什克腾旗,大众点评,4.6,1720,90,地质公园;奇石,世界地质公园奇石群
scenic_spot,辉腾锡勒草原,乌兰察布,察哈尔右翼中旗,携程,4.4,1180,免费,草原;风车;摄影,高山草甸草原风光
hotel,呼和浩特香格里拉大酒店,呼和浩特,新城区兴安北路5号,携程,4.7,5210,700-900,五星;商务;豪华,市中心高端商务酒店
hotel,包头香格里拉大酒店,包头,青山区钢铁大街66号,去哪儿,4.6,3980,600-780,五星;会议;商务,青山区高端会议酒店
hotel,鄂尔多斯皇冠假日酒店,鄂尔多斯,康巴什新区,美团,4.5,2870,520-680,五星;亲子;休闲,康巴什新区度假酒店
hotel,呼伦贝尔友谊国际酒店,呼伦贝尔,海拉尔区中央街,携程,4.3,1640,360-460,四星;草原;旅游,海拉尔区旅游商务酒店
hotel,赤峰万达嘉华酒店,赤峰,红山区万达广场,大众点评,4.5,2210,420-520,四星;购物;商务,红山区购物中心配套酒店
hotel,阿尔山温泉大酒店,兴安盟,阿尔山市温泉街,去哪儿,4.4,1390,480-620,温泉;度假;亲子,森林温泉度假酒店
hotel,乌兰察布锦江国际酒店,乌兰察布,集宁区恩和路,美团,4.2,980,320-420,商务;交通便利,集宁区商务酒店
hotel,通辽华美达广场酒店,通辽,科尔沁区霍林河大街,携程,4.3,1120,360-480,商务;会议,科尔沁区会议商务酒店
food,内蒙古手把肉(老绥元),呼和浩特,赛罕区大学东街,大众点评,4.6,3420,80-120,蒙餐;手把肉;羊肉,呼市知名蒙餐手把肉
food,烧麦(德顺源),呼和浩特,回民区通道南街,美团,4.5,5180,30-50,小吃;早餐;老字号,呼和浩特百年烧麦老店
food,牛羊杂碎汤,包头,青山区钢铁大街,去哪儿,4.4,1760,20-40,地方小吃;早餐,包头特色杂碎汤
food,烤全羊,鄂尔多斯,东胜区鄂尔多斯大街,携程,4.7,1340,120-200,蒙餐;团餐;草原风味,鄂尔多斯草原烤全羊
food,呼伦贝尔涮羊肉,呼伦贝尔,海拉尔区中央街,大众点评,4.6,2240,90-150,火锅;羊肉;草原,呼伦贝尔草原涮羊肉
food,赤峰对夹,赤峰,红山区步行街,美团,4.5,2980,10-20,小吃;早餐;特色,赤峰特色对夹小吃
